order_id,order_date,month,day_of_week,category,product,franchise,sales_channel,region,unit_price,quantity,gross_revenue,discount_pct,discount_amt,net_revenue,customer_satisfaction,returned
10041,2024-01-04,1,Thursday,Home,Ornament,Ocean Tales,Theme Park Shop,East Coast,29.34,2,58.68,5,2.93,55.75,4,0
10042,2024-01-04,1,Thursday,Toys,Building Set,Enchanted Forest,Online Store,East Coast,17.51,1,17.51,20,3.5,14.01,5,0
10043,2024-01-04,1,Thursday,Home,Candle,Hero Squad,Theme Park Shop,West Coast,24.41,4,97.64,0,0.0,97.64,4,0
10044,2024-01-04,1,Thursday,Collectibles,Figurine,Fantasy Kingdom,Retail Partner,Southeast,64.8,1,64.8,5,3.24,61.56,3,1
10045,2024-01-04,1,Thursday,Accessories,Pin Set,Fantasy Kingdom,Theme Park Shop,Southeast,24.0,2,48.0,20,9.6,38.4,4,0
10046,2024-01-05,1,Friday,Apparel,Jacket,Space Rangers,Online Store,International,40.63,1,40.63,5,2.03,38.6,5,0
10047,2024-01-05,1,Friday,Toys,Puzzle,Enchanted Forest,Pop-Up Event,Midwest,43.63,3,130.89,20,26.18,104.71,5,0
10048,2024-01-05,1,Friday,Toys,Puzzle,Hero Squad,Online Store,West Coast,35.04,3,105.12,25,26.28,78.84,4,0
10049,2024-01-05,1,Friday,Apparel,Hat,Space Rangers,Online Store,East Coast,41.41,1,41.41,5,2.07,39.34,4,0
10050,2024-01-05,1,Friday,Toys,Action Figure,Hero Squad,Theme Park Shop,East Coast,28.93,1,28.93,20,5.79,23.14,4,0
10051,2024-01-05,1,Friday,Apparel,Dress,Hero Squad,Theme Park Shop,International,32.91,1,32.91,20,6.58,26.33,4,0
10052,2024-01-05,1,Friday,Collectibles,Limited Print,Hero Squad,Online Store,East Coast,32.94,1,32.94,20,6.59,26.35,5,0
10053,2024-01-05,1,Friday,Toys,Building Set,Enchanted Forest,Online Store,East Coast,33.02,1,33.02,20,6.6,26.42,3,0
10054,2024-01-05,1,Friday,Apparel,Hat,Hero Squad,Online Store,East Coast,34.28,3,102.84,10,10.28,92.56,5,0
10055,2024-01-05,1,Friday,Home,Mug,Hero Squad,Online Store,East Coast,36.0,1,36.0,0,0.0,36.0,5,0
10056,2024-01-05,1,Friday,Apparel,Hoodie,Space Rangers,Retail Partner,Midwest,30.8,2,61.6,0,0.0,61.6,4,0
10057,2024-01-05,1,Friday,Home,Wall Art,Space Rangers,Theme Park Shop,International,29.8,3,89.4,0,0.0,89.4,5,0
10058,2024-01-06,1,Saturday,Apparel,Hat,Enchanted Forest,Theme Park Shop,International,36.36,2,72.72,0,0.0,72.72,4,0
10059,2024-01-06,1,Saturday,Toys,Action Figure,Ocean Tales,Retail Partner,Midwest,20.83,5,104.15,0,0.0,104.15,4,0
10060,2024-01-06,1,Saturday,Home,Mug,Enchanted Forest,Theme Park Shop,West Coast,23.24,2,46.48,20,9.3,37.18,5,0
10061,2024-01-06,1,Saturday,Accessories,Watch,Hero Squad,Online Store,East Coast,25.48,2,50.96,25,12.74,38.22,4,0
10062,2024-01-06,1,Saturday,Collectibles,Figurine,Ocean Tales,Retail Partner,Southeast,35.79,3,107.37,5,5.37,102.0,5,0
10063,2024-01-06,1,Saturday,Accessories,Phone Case,Fantasy Kingdom,Theme Park Shop,East Coast,22.25,1,22.25,10,2.23,20.02,4,0
10064,2024-01-06,1,Saturday,Home,Ornament,Fantasy Kingdom,Theme Park Shop,West Coast,19.31,1,19.31,5,0.97,18.34,4,0
10065,2024-01-06,1,Saturday,Accessories,Keychain,Fantasy Kingdom,Online Store,West Coast,26.3,1,26.3,15,3.94,22.36,4,0
10066,2024-01-06,1,Saturday,Accessories,Pin Set,Ocean Tales,Online Store,East Coast,18.67,1,18.67,5,0.93,17.74,4,0
10067,2024-01-06,1,Saturday,Toys,Plush Toy,Space Rangers,Retail Partner,West Coast,33.71,3,101.13,10,10.11,91.02,5,0
10068,2024-01-06,1,Saturday,Home,Blanket,Ocean Tales,Online Store,West Coast,25.75,1,25.75,0,0.0,25.75,4,0
10069,2024-01-06,1,Saturday,Toys,Puzzle,Fantasy Kingdom,Retail Partner,Midwest,30.41,1,30.41,0,0.0,30.41,5,0
10070,2024-01-06,1,Saturday,Accessories,Backpack,Fantasy Kingdom,Theme Park Shop,West Coast,25.06,1,25.06,0,0.0,25.06,5,0
10071,2024-01-06,1,Saturday,Apparel,Hoodie,Fantasy Kingdom,Theme Park Shop,East Coast,43.38,2,86.76,20,17.35,69.41,4,0
10072,2024-01-06,1,Saturday,Collectibles,Coin Set,Ocean Tales,Theme Park Shop,West Coast,79.03,1,79.03,5,3.95,75.08,4,0
10073,2024-01-07,1,Sunday,Collectibles,Vinyl Figure,Space Rangers,Online Store,East Coast,60.89,1,60.89,5,3.04,57.85,3,0
10074,2024-01-07,1,Sunday,Accessories,Backpack,Space Rangers,Pop-Up Event,Southeast,24.98,2,49.96,5,2.5,47.46,4,0
10075,2024-01-07,1,Sunday,Toys,Board Game,Space Rangers,Online Store,West Coast,25.96,2,51.92,10,5.19,46.73,4,0
10076,2024-01-07,1,Sunday,Home,Candle,Ocean Tales,Theme Park Shop,East Coast,15.77,1,15.77,20,3.15,12.62,5,0
10077,2024-01-07,1,Sunday,Apparel,T-Shirt,Space Rangers,Pop-Up Event,Southeast,42.65,4,170.6,10,17.06,153.54,4,0
10078,2024-01-07,1,Sunday,Toys,Puzzle,Enchanted Forest,Theme Park Shop,International,22.49,2,44.98,25,11.24,33.74,5,0
10079,2024-01-07,1,Sunday,Accessories,Phone Case,Ocean Tales,Theme Park Shop,Southeast,19.13,2,38.26,10,3.83,34.43,4,0
10080,2024-01-07,1,Sunday,Collectibles,Vinyl Figure,Hero Squad,Online Store,West Coast,37.24,3,111.72,0,0.0,111.72,4,0
10081,2024-01-07,1,Sunday,Accessories,Backpack,Space Rangers,Theme Park Shop,Midwest,22.47,1,22.47,0,0.0,22.47,3,0
10082,2024-01-07,1,Sunday,Home,Candle,Hero Squad,Online Store,International,27.4,1,27.4,0,0.0,27.4,4,1
10083,2024-01-07,1,Sunday,Accessories,Backpack,Space Rangers,Pop-Up Event,International,21.74,1,21.74,0,0.0,21.74,4,0
10084,2024-01-07,1,Sunday,Collectibles,Figurine,Hero Squad,Retail Partner,International,43.56,2,87.12,20,17.42,69.7,3,0
10085,2024-01-07,1,Sunday,Toys,Action Figure,Ocean Tales,Retail Partner,Southeast,26.85,3,80.55,10,8.05,72.5,5,0
10086,2024-01-07,1,Sunday,Home,Ornament,Enchanted Forest,Pop-Up Event,East Coast,17.27,2,34.54,15,5.18,29.36,4,0
10087,2024-01-07,1,Sunday,Accessories,Keychain,Ocean Tales,Retail Partner,International,17.33,1,17.33,20,3.47,13.86,2,0
10088,2024-01-07,1,Sunday,Accessories,Keychain,Space Rangers,Theme Park Shop,West Coast,22.55,2,45.1,0,0.0,45.1,5,0
10089,2024-01-07,1,Sunday,Collectibles,Coin Set,Fantasy Kingdom,Retail Partner,East Coast,63.91,1,63.91,25,15.98,47.93,5,0
10090,2024-01-07,1,Sunday,Collectibles,Coin Set,Fantasy Kingdom,Retail Partner,Southeast,74.04,1,74.04,15,11.11,62.93,4,0
10091,2024-01-08,1,Monday,Accessories,Pin Set,Fantasy Kingdom,Theme Park Shop,West Coast,26.15,1,26.15,5,1.31,24.84,5,0
10092,2024-01-08,1,Monday,Apparel,T-Shirt,Hero Squad,Online Store,West Coast,23.42,1,23.42,0,0.0,23.42,3,0
10093,2024-01-08,1,Monday,Toys,Plush Toy,Enchanted Forest,Theme Park Shop,Midwest,22.45,1,22.45,20,4.49,17.96,4,0
10094,2024-01-08,1,Monday,Collectibles,Limited Print,Space Rangers,Theme Park Shop,West Coast,44.14,1,44.14,25,11.04,33.1,5,0
10095,2024-01-08,1,Monday,Toys,Action Figure,Hero Squad,Pop-Up Event,International,25.73,4,102.92,10,10.29,92.63,4,0
10096,2024-01-08,1,Monday,Accessories,Keychain,Fantasy Kingdom,Online Store,Midwest,23.98,5,119.9,10,11.99,107.91,1,0
10097,2024-01-08,1,Monday,Accessories,Phone Case,Fantasy Kingdom,Theme Park Shop,Midwest,27.34,1,27.34,25,6.83,20.51,5,0
10098,2024-01-08,1,Monday,Toys,Building Set,Ocean Tales,Online Store,West Coast,24.39,3,73.17,0,0.0,73.17,4,0
10099,2024-01-08,1,Monday,Apparel,Hat,Hero Squad,Online Store,East Coast,27.03,4,108.12,15,16.22,91.9,5,0
10100,2024-01-08,1,Monday,Toys,Building Set,Ocean Tales,Theme Park Shop,International,40.34,1,40.34,25,10.09,30.25,5,0
10101,2024-01-08,1,Monday,Home,Mug,Hero Squad,Pop-Up Event,West Coast,35.26,3,105.78,20,21.16,84.62,5,0
10102,2024-01-08,1,Monday,Home,Mug,Hero Squad,Online Store,East Coast,24.01,2,48.02,10,4.8,43.22,4,0
10103,2024-01-08,1,Monday,Home,Mug,Space Rangers,Theme Park Shop,Midwest,34.75,1,34.75,5,1.74,33.01,4,0
10104,2024-01-08,1,Monday,Accessories,Phone Case,Hero Squad,Online Store,West Coast,13.34,5,66.7,0,0.0,66.7,2,0
10105,2024-01-09,1,Tuesday,Collectibles,Coin Set,Enchanted Forest,Retail Partner,West Coast,52.04,1,52.04,25,13.01,39.03,4,0
10106,2024-01-09,1,Tuesday,Home,Mug,Ocean Tales,Online Store,East Coast,19.19,1,19.19,15,2.88,16.31,4,0
10107,2024-01-09,1,Tuesday,Home,Mug,Hero Squad,Online Store,International,34.88,3,104.64,0,0.0,104.64,4,0
10108,2024-01-09,1,Tuesday,Collectibles,Vinyl Figure,Fantasy Kingdom,Retail Partner,West Coast,37.73,2,75.46,0,0.0,75.46,5,0
10109,2024-01-09,1,Tuesday,Collectibles,Limited Print,Space Rangers,Online Store,West Coast,76.08,1,76.08,0,0.0,76.08,5,0
10110,2024-01-09,1,Tuesday,Toys,Action Figure,Fantasy Kingdom,Online Store,East Coast,39.18,2,78.36,0,0.0,78.36,3,1
10111,2024-01-09,1,Tuesday,Accessories,Pin Set,Fantasy Kingdom,Retail Partner,East Coast,28.0,2,56.0,0,0.0,56.0,4,0
10112,2024-01-09,1,Tuesday,Collectibles,Vinyl Figure,Enchanted Forest,Online Store,Midwest,33.04,5,165.2,20,33.04,132.16,4,0
10113,2024-01-09,1,Tuesday,Accessories,Backpack,Fantasy Kingdom,Online Store,West Coast,15.1,2,30.2,15,4.53,25.67,4,0
10114,2024-01-09,1,Tuesday,Home,Candle,Enchanted Forest,Theme Park Shop,West Coast,29.44,3,88.32,5,4.42,83.9,4,0
10115,2024-01-09,1,Tuesday,Accessories,Phone Case,Hero Squad,Online Store,Midwest,18.79,1,18.79,10,1.88,16.91,4,0
10116,2024-01-09,1,Tuesday,Accessories,Backpack,Fantasy Kingdom,Retail Partner,West Coast,14.51,2,29.02,0,0.0,29.02,4,0
10117,2024-01-09,1,Tuesday,Collectibles,Art Book,Ocean Tales,Theme Park Shop,East Coast,74.74,4,298.96,20,59.79,239.17,5,0
10118,2024-01-09,1,Tuesday,Home,Ornament,Ocean Tales,Online Store,Midwest,18.68,2,37.36,5,1.87,35.49,5,0
10119,2024-01-09,1,Tuesday,Collectibles,Figurine,Fantasy Kingdom,Retail Partner,Midwest,71.46,3,214.38,0,0.0,214.38,4,0
10120,2024-01-09,1,Tuesday,Home,Mug,Space Rangers,Online Store,Southeast,34.27,1,34.27,0,0.0,34.27,5,0
10121,2024-01-10,1,Wednesday,Accessories,Backpack,Space Rangers,Retail Partner,International,14.42,2,28.84,20,5.77,23.07,4,0
10122,2024-01-10,1,Wednesday,Home,Wall Art,Ocean Tales,Retail Partner,Midwest,15.87,1,15.87,0,0.0,15.87,5,1
10123,2024-01-10,1,Wednesday,Apparel,Hat,Hero Squad,Theme Park Shop,East Coast,37.96,1,37.96,0,0.0,37.96,4,0
10124,2024-01-10,1,Wednesday,Collectibles,Coin Set,Enchanted Forest,Theme Park Shop,West Coast,51.07,2,102.14,0,0.0,102.14,3,0
10125,2024-01-10,1,Wednesday,Toys,Board Game,Ocean Tales,Online Store,West Coast,38.04,1,38.04,20,7.61,30.43,4,0
10126,2024-01-10,1,Wednesday,Collectibles,Figurine,Fantasy Kingdom,Online Store,Midwest,53.09,2,106.18,0,0.0,106.18,5,0
10127,2024-01-10,1,Wednesday,Collectibles,Coin Set,Hero Squad,Online Store,East Coast,79.33,1,79.33,25,19.83,59.5,5,0
10128,2024-01-10,1,Wednesday,Apparel,Jacket,Fantasy Kingdom,Online Store,Midwest,40.84,1,40.84,10,4.08,36.76,5,0
10129,2024-01-10,1,Wednesday,Toys,Action Figure,Enchanted Forest,Theme Park Shop,East Coast,22.83,3,68.49,15,10.27,58.22,5,0
10130,2024-01-10,1,Wednesday,Toys,Plush Toy,Fantasy Kingdom,Online Store,West Coast,34.07,3,102.21,0,0.0,102.21,3,0
10131,2024-01-10,1,Wednesday,Accessories,Keychain,Enchanted Forest,Retail Partner,East Coast,30.9,2,61.8,15,9.27,52.53,5,0
10132,2024-01-10,1,Wednesday,Toys,Puzzle,Fantasy Kingdom,Theme Park Shop,Midwest,39.4,2,78.8,15,11.82,66.98,4,0
10133,2024-01-10,1,Wednesday,Accessories,Backpack,Fantasy Kingdom,Online Store,West Coast,25.36,5,126.8,0,0.0,126.8,4,0
10134,2024-01-10,1,Wednesday,Accessories,Pin Set,Enchanted Forest,Pop-Up Event,Midwest,13.41,4,53.64,5,2.68,50.96,4,0
10135,2024-01-10,1,Wednesday,Toys,Action Figure,Hero Squad,Online Store,Southeast,26.94,2,53.88,0,0.0,53.88,2,0
10136,2024-01-10,1,Wednesday,Accessories,Pin Set,Enchanted Forest,Theme Park Shop,East Coast,30.78,1,30.78,15,4.62,26.16,4,1
10137,2024-01-10,1,Wednesday,Home,Mug,Ocean Tales,Online Store,Midwest,20.25,2,40.5,0,0.0,40.5,4,0
10138,2024-01-11,1,Thursday,Accessories,Watch,Enchanted Forest,Retail Partner,West Coast,23.67,2,47.34,15,7.1,40.24,5,0
10139,2024-01-11,1,Thursday,Collectibles,Vinyl Figure,Hero Squad,Theme Park Shop,West Coast,46.79,4,187.16,15,28.07,159.09,5,0
10140,2024-01-11,1,Thursday,Toys,Plush Toy,Space Rangers,Online Store,Southeast,20.28,3,60.84,0,0.0,60.84,4,0
10141,2024-01-11,1,Thursday,Collectibles,Limited Print,Enchanted Forest,Online Store,West Coast,72.65,3,217.95,0,0.0,217.95,5,1
10142,2024-01-11,1,Thursday,Home,Blanket,Hero Squad,Theme Park Shop,Southeast,31.24,1,31.24,5,1.56,29.68,4,0
10143,2024-01-11,1,Thursday,Accessories,Watch,Ocean Tales,Theme Park Shop,Midwest,21.32,3,63.96,20,12.79,51.17,4,0
10144,2024-01-11,1,Thursday,Toys,Plush Toy,Enchanted Forest,Online Store,West Coast,35.13,3,105.39,0,0.0,105.39,5,0
10145,2024-01-11,1,Thursday,Apparel,Hat,Fantasy Kingdom,Retail Partner,West Coast,54.27,1,54.27,20,10.85,43.42,2,0
10146,2024-01-11,1,Thursday,Accessories,Phone Case,Fantasy Kingdom,Theme Park Shop,East Coast,20.0,1,20.0,0,0.0,20.0,4,1
10147,2024-01-11,1,Thursday,Apparel,Hat,Space Rangers,Online Store,West Coast,51.61,2,103.22,0,0.0,103.22,5,0
10148,2024-01-11,1,Thursday,Collectibles,Vinyl Figure,Fantasy Kingdom,Online Store,West Coast,38.9,4,155.6,20,31.12,124.48,3,0
10149,2024-01-11,1,Thursday,Home,Mug,Fantasy Kingdom,Online Store,Midwest,27.7,1,27.7,25,6.92,20.78,4,1
10150,2024-01-11,1,Thursday,Collectibles,Art Book,Space Rangers,Retail Partner,West Coast,31.58,1,31.58,20,6.32,25.26,3,0
10151,2024-01-11,1,Thursday,Collectibles,Figurine,Fantasy Kingdom,Pop-Up Event,East Coast,70.43,2,140.86,0,0.0,140.86,4,0
10152,2024-01-11,1,Thursday,Accessories,Phone Case,Ocean Tales,Retail Partner,East Coast,13.94,1,13.94,0,0.0,13.94,5,0
10153,2024-01-12,1,Friday,Home,Blanket,Fantasy Kingdom,Online Store,East Coast,28.14,3,84.42,25,21.11,63.31,5,0
10154,2024-01-12,1,Friday,Toys,Plush Toy,Fantasy Kingdom,Retail Partner,International,18.52,1,18.52,5,0.93,17.59,5,0
10155,2024-01-12,1,Friday,Home,Ornament,Hero Squad,Pop-Up Event,East Coast,19.57,3,58.71,5,2.94,55.77,3,0
10156,2024-01-12,1,Friday,Apparel,Hat,Ocean Tales,Online Store,East Coast,53.71,2,107.42,20,21.48,85.94,4,0
10157,2024-01-12,1,Friday,Accessories,Phone Case,Enchanted Forest,Online Store,West Coast,21.01,1,21.01,0,0.0,21.01,4,0
10158,2024-01-12,1,Friday,Apparel,Hat,Ocean Tales,Online Store,Midwest,37.4,2,74.8,15,11.22,63.58,4,0
10159,2024-01-12,1,Friday,Home,Ornament,Hero Squad,Online Store,International,34.85,1,34.85,20,6.97,27.88,4,0
10160,2024-01-12,1,Friday,Toys,Action Figure,Space Rangers,Retail Partner,Midwest,29.55,1,29.55,5,1.48,28.07,5,0
10161,2024-01-12,1,Friday,Accessories,Pin Set,Fantasy Kingdom,Theme Park Shop,Midwest,31.39,1,31.39,0,0.0,31.39,4,0
10162,2024-01-12,1,Friday,Accessories,Phone Case,Ocean Tales,Online Store,West Coast,27.17,2,54.34,20,10.87,43.47,5,0
10163,2024-01-12,1,Friday,Home,Candle,Space Rangers,Pop-Up Event,West Coast,34.16,2,68.32,0,0.0,68.32,3,1
10164,2024-01-12,1,Friday,Toys,Puzzle,Fantasy Kingdom,Retail Partner,International,44.63,2,89.26,0,0.0,89.26,4,0
10165,2024-01-12,1,Friday,Home,Blanket,Space Rangers,Retail Partner,East Coast,16.67,1,16.67,0,0.0,16.67,3,0
10166,2024-01-12,1,Friday,Home,Ornament,Enchanted Forest,Online Store,Southeast,26.14,2,52.28,0,0.0,52.28,2,0
10167,2024-01-12,1,Friday,Accessories,Pin Set,Hero Squad,Retail Partner,Southeast,14.06,5,70.3,0,0.0,70.3,4,0
10168,2024-01-12,1,Friday,Home,Blanket,Enchanted Forest,Theme Park Shop,West Coast,35.26,1,35.26,0,0.0,35.26,5,0
10169,2024-01-13,1,Saturday,Toys,Board Game,Enchanted Forest,Retail Partner,Southeast,24.39,2,48.78,10,4.88,43.9,3,0
10170,2024-01-13,1,Saturday,Collectibles,Vinyl Figure,Enchanted Forest,Theme Park Shop,Midwest,60.24,1,60.24,15,9.04,51.2,5,0
10171,2024-01-13,1,Saturday,Apparel,T-Shirt,Fantasy Kingdom,Pop-Up Event,Southeast,31.72,1,31.72,20,6.34,25.38,4,1
10172,2024-01-13,1,Saturday,Collectibles,Figurine,Ocean Tales,Theme Park Shop,Southeast,65.41,1,65.41,0,0.0,65.41,4,0
10173,2024-01-13,1,Saturday,Accessories,Keychain,Hero Squad,Online Store,Midwest,18.79,2,37.58,15,5.64,31.94,5,0
10174,2024-01-13,1,Saturday,Home,Ornament,Enchanted Forest,Online Store,West Coast,16.7,1,16.7,0,0.0,16.7,2,0
10175,2024-01-13,1,Saturday,Accessories,Pin Set,Hero Squad,Online Store,Southeast,15.76,1,15.76,15,2.36,13.4,3,0
10176,2024-01-13,1,Saturday,Collectibles,Coin Set,Hero Squad,Retail Partner,East Coast,35.96,1,35.96,25,8.99,26.97,5,0
10177,2024-01-13,1,Saturday,Home,Mug,Fantasy Kingdom,Online Store,Midwest,32.54,2,65.08,10,6.51,58.57,4,0
10178,2024-01-13,1,Saturday,Accessories,Watch,Ocean Tales,Retail Partner,Southeast,19.85,1,19.85,5,0.99,18.86,4,0
10179,2024-01-13,1,Saturday,Accessories,Pin Set,Hero Squad,Retail Partner,West Coast,32.18,2,64.36,0,0.0,64.36,3,0
10180,2024-01-13,1,Saturday,Home,Wall Art,Enchanted Forest,Pop-Up Event,Southeast,18.38,2,36.76,0,0.0,36.76,2,0
10181,2024-01-13,1,Saturday,Home,Candle,Enchanted Forest,Theme Park Shop,Midwest,25.34,1,25.34,15,3.8,21.54,3,0
10182,2024-01-13,1,Saturday,Home,Ornament,Ocean Tales,Theme Park Shop,East Coast,24.78,2,49.56,25,12.39,37.17,5,0
10183,2024-01-14,1,Sunday,Apparel,Jacket,Enchanted Forest,Online Store,Southeast,53.1,2,106.2,25,26.55,79.65,3,0
10184,2024-01-14,1,Sunday,Collectibles,Art Book,Space Rangers,Retail Partner,Midwest,39.94,2,79.88,20,15.98,63.9,3,0
10185,2024-01-14,1,Sunday,Apparel,Dress,Fantasy Kingdom,Online Store,East Coast,37.14,1,37.14,5,1.86,35.28,4,0
10186,2024-01-14,1,Sunday,Accessories,Backpack,Space Rangers,Theme Park Shop,Midwest,32.36,2,64.72,20,12.94,51.78,4,0
10187,2024-01-14,1,Sunday,Collectibles,Figurine,Enchanted Forest,Online Store,Southeast,67.19,2,134.38,10,13.44,120.94,4,0
10188,2024-01-14,1,Sunday,Toys,Board Game,Enchanted Forest,Online Store,International,44.51,3,133.53,5,6.68,126.85,4,0
10189,2024-01-14,1,Sunday,Accessories,Phone Case,Enchanted Forest,Pop-Up Event,Southeast,18.01,1,18.01,20,3.6,14.41,5,0
10190,2024-01-14,1,Sunday,Home,Blanket,Ocean Tales,Online Store,International,15.74,4,62.96,10,6.3,56.66,5,0
10191,2024-01-14,1,Sunday,Collectibles,Figurine,Enchanted Forest,Theme Park Shop,West Coast,61.98,2,123.96,5,6.2,117.76,2,0
10192,2024-01-14,1,Sunday,Toys,Plush Toy,Fantasy Kingdom,Online Store,East Coast,30.49,2,60.98,0,0.0,60.98,1,0
10193,2024-01-14,1,Sunday,Toys,Puzzle,Hero Squad,Theme Park Shop,West Coast,44.01,1,44.01,0,0.0,44.01,5,0
10194,2024-01-14,1,Sunday,Collectibles,Limited Print,Enchanted Forest,Retail Partner,Southeast,33.35,4,133.4,20,26.68,106.72,5,0
